time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,number_of_children,point_score,average_point_score,elg_number,elg_percent,gld_number,gld_percent,comm_lang_lit_number,comm_lang_lit_percent
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Boys,2512,82221,32.7,1593,63.4,1654,65.8,1674,66.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Total,4515,156521,34.7,3183,70.5,3230,71.5,3280,72.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Girls,2234,80181,35.9,1705,76.3,1731,77.5,1748,78.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Boys,2281,76340,33.5,1478,64.8,1499,65.7,1532,67.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Total,4670,156970,33.6,3111,66.6,3177,68,3198,68.5
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Girls,2253,78259,34.7,1650,73.2,1676,74.4,1685,74.8
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Boys,2417,78711,32.6,1461,60.4,1501,62.1,1513,62.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Total,3731,132523,35.5,2879,77.2,2893,77.5,2918,78.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Girls,1799,66897,37.2,1524,84.7,1528,84.9,1538,85.5
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Boys,1932,65626,34,1355,70.1,1365,70.7,1380,71.4
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Total,3187,109494,34.4,2273,71.3,2331,73.1,2356,73.9
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Girls,1573,55873,35.5,1247,79.3,1261,80.2,1270,80.7
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Boys,1614,53621,33.2,1026,63.6,1070,66.3,1086,67.3
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Total,3316,112337,33.9,2361,71.2,2379,71.7,2428,73.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Girls,1620,56286,34.7,1267,78.2,1271,78.5,1288,79.5
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Boys,1696,56051,33,1094,64.5,1108,65.3,1140,67.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Total,4278,147256,34.4,3022,70.6,3104,72.6,3159,73.8
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Girls,2009,71575,35.6,1556,77.5,1580,78.6,1599,79.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Boys,2269,75681,33.4,1466,64.6,1524,67.2,1560,68.8
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Total,3641,124937,34.3,2510,68.9,2586,71,2620,72
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Girls,1768,62797,35.5,1347,76.2,1371,77.5,1384,78.3
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Boys,1873,62140,33.2,1163,62.1,1215,64.9,1236,66
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Total,2029,75597,37.3,1535,75.7,1539,75.9,1561,76.9
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Girls,999,38426,38.5,826,82.7,828,82.9,836,83.7
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Boys,1030,37171,36.1,709,68.8,711,69,725,70.4
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Total,2549,90191,35.4,1860,73,1883,73.9,1905,74.7
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Girls,1269,46142,36.4,998,78.6,1008,79.4,1018,80.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Boys,1280,44049,34.4,862,67.3,875,68.4,887,69.3
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Total,4528,163091,36,3248,71.7,3309,73.1,3340,73.8
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Girls,2217,83148,37.5,1742,78.6,1763,79.5,1781,80.3
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Boys,2311,79943,34.6,1506,65.2,1546,66.9,1559,67.5
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Total,2689,101877,37.9,2098,78,2109,78.4,2157,80.2
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Girls,1309,50884,38.9,1092,83.4,1096,83.7,1118,85.4
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Boys,1380,50993,37,1006,72.9,1013,73.4,1039,75.3
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Total,2634,92088,35,1800,68.3,1852,70.3,1887,71.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Girls,1283,46688,36.4,987,76.9,999,77.9,1012,78.9
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Boys,1351,45400,33.6,813,60.2,853,63.1,875,64.8
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Total,3821,133801,35,2769,72.5,2824,73.9,2852,74.6
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Girls,1804,65034,36,1415,78.4,1434,79.5,1445,80.1
Academic Year,201617,Local Authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Boys,2017,68767,34.1,1354,67.1,1390,68.9,1407,69.8
Academic Year,201516,National,E92000001,England, , , , , ,Total,669151,23053369,34.5,450555,67.3,463669,69.3,473519,70.8
Academic Year,201516,National,E92000001,England, , , , , ,Girls,326156,11650454,35.7,245828,75.4,250509,76.8,255057,78.2
Academic Year,201516,National,E92000001,England, , , , , ,Boys,342995,11402915,33.2,204727,59.7,213160,62.1,218462,63.7
Academic Year,201516,Regional,E92000001,England,E12000001,North East, , , ,Total,30822,1058824,34.4,20456,66.4,21087,68.4,21494,69.7
Academic Year,201516,Regional,E92000001,England,E12000001,North East, , , ,Girls,14991,535688,35.7,11191,74.7,11430,76.2,11623,77.5
Academic Year,201516,Regional,E92000001,England,E12000001,North East, , , ,Boys,15831,523136,33,9265,58.5,9657,61,9871,62.4
Academic Year,201516,Regional,E92000001,England,E12000002,North West, , , ,Total,89219,3027713,33.9,57258,64.2,59496,66.7,60797,68.1
Academic Year,201516,Regional,E92000001,England,E12000002,North West, , , ,Girls,43608,1540265,35.3,31759,72.8,32611,74.8,33230,76.2
Academic Year,201516,Regional,E92000001,England,E12000002,North West, , , ,Boys,45611,1487448,32.6,25499,55.9,26885,58.9,27567,60.4
Academic Year,201516,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Total,66382,2251302,33.9,43211,65.1,44735,67.4,45443,68.5
Academic Year,201516,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Girls,32319,1137707,35.2,23762,73.5,24303,75.2,24640,76.2
Academic Year,201516,Regional,E92000001,England,E12000003,Yorkshire and the Humber, , , ,Boys,34063,1113595,32.7,19449,57.1,20432,60,20803,61.1
Academic Year,201516,Regional,E92000001,England,E12000004,East Midlands, , , ,Total,56822,1941306,34.2,37033,65.2,38396,67.6,39218,69
Academic Year,201516,Regional,E92000001,England,E12000004,East Midlands, , , ,Girls,27728,982746,35.4,20321,73.3,20807,75,21164,76.3
Academic Year,201516,Regional,E92000001,England,E12000004,East Midlands, , , ,Boys,29094,958560,32.9,16712,57.4,17589,60.5,18054,62.1
Academic Year,201516,Regional,E92000001,England,E12000005,West Midlands, , , ,Total,73590,2496229,33.9,47359,64.4,49363,67.1,50405,68.5
Academic Year,201516,Regional,E92000001,England,E12000005,West Midlands, , , ,Girls,36004,1271542,35.3,26160,72.7,26939,74.8,27427,76.2
Academic Year,201516,Regional,E92000001,England,E12000005,West Midlands, , , ,Boys,37586,1224687,32.6,21199,56.4,22424,59.7,22978,61.1
Academic Year,201516,Regional,E92000001,England,E12000006,East of England, , , ,Total,74667,2576939,34.5,50607,67.8,52056,69.7,53323,71.4
Academic Year,201516,Regional,E92000001,England,E12000006,East of England, , , ,Girls,36329,1297773,35.7,27513,75.7,28010,77.1,28587,78.7
Academic Year,201516,Regional,E92000001,England,E12000006,East of England, , , ,Boys,38338,1279166,33.4,23094,60.2,24046,62.7,24736,64.5
Academic Year,201516,Regional,E92000001,England,E12000008,South East, , , ,Total,107906,3805301,35.3,77393,71.7,78722,73,80343,74.5
Academic Year,201516,Regional,E92000001,England,E12000008,South East, , , ,Girls,52446,1911717,36.5,41733,79.6,42145,80.4,42871,81.7
Academic Year,201516,Regional,E92000001,England,E12000008,South East, , , ,Boys,55460,1893584,34.1,35660,64.3,36577,66,37472,67.6
Academic Year,201516,Regional,E92000001,England,E12000009,South West, , , ,Total,61808,2154410,34.9,42112,68.1,42983,69.5,44165,71.5
Academic Year,201516,Regional,E92000001,England,E12000009,South West, , , ,Girls,30131,1086047,36,22939,76.1,23211,77,23776,78.9
Academic Year,201516,Regional,E92000001,England,E12000009,South West, , , ,Boys,31677,1068363,33.7,19173,60.5,19772,62.4,20389,64.4
Academic Year,201516,Regional,E92000001,England,E13000001,Inner London, , , ,Total,37340,1287693,34.5,25781,69,26389,70.7,26905,72.1
Academic Year,201516,Regional,E92000001,England,E13000001,Inner London, , , ,Girls,18250,650899,35.7,13914,76.2,14123,77.4,14352,78.6
Academic Year,201516,Regional,E92000001,England,E13000001,Inner London, , , ,Boys,19090,636794,33.4,11867,62.2,12266,64.3,12553,65.8
Academic Year,201516,Regional,E92000001,England,E13000002,Outer London, , , ,Total,70595,2453652,34.8,49345,69.9,50442,71.5,51426,72.8
Academic Year,201516,Regional,E92000001,England,E13000002,Outer London, , , ,Girls,34350,1236070,36,26536,77.3,26930,78.4,27387,79.7
Academic Year,201516,Regional,E92000001,England,E13000002,Outer London, , , ,Boys,36245,1217582,33.6,22809,62.9,23512,64.9,24039,66.3
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,1282,43516,33.9,859,67,892,69.6,908,70.8
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Girls,633,22330,35.3,471,74.4,483,76.3,492,77.7
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Boys,649,21186,32.6,388,59.8,409,63,416,64.1
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Total,5778,196623,34,3834,66.4,3989,69,4046,70
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Girls,2819,99630,35.3,2089,74.1,2147,76.2,2176,77.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Boys,2959,96993,32.8,1745,59,1842,62.3,1870,63.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Total,2312,83605,36.2,1552,67.1,1573,68,1618,70
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Girls,1126,42262,37.5,840,74.6,846,75.1,869,77.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Boys,1186,41343,34.9,712,60,727,61.3,749,63.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,1208,40867,33.8,782,64.7,826,68.4,845,70
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Girls,583,20477,35.1,421,72.2,441,75.6,449,77
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Boys,625,20390,32.6,361,57.8,385,61.6,396,63.4
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,2059,66419,32.3,1182,57.4,1242,60.3,1257,61
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Girls,1039,35188,33.9,687,66.1,714,68.7,723,69.6
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Boys,1020,31231,30.6,495,48.5,528,51.8,534,52.4
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,3341,116265,34.8,2269,67.9,2323,69.5,2362,70.7
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Girls,1621,58456,36.1,1218,75.1,1239,76.4,1260,77.7
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Boys,1720,57809,33.6,1051,61.1,1084,63,1102,64.1
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,2394,84058,35.1,1629,68,1669,69.7,1699,71
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Girls,1134,41516,36.6,862,76,876,77.2,887,78.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Boys,1260,42542,33.8,767,60.9,793,62.9,812,64.4
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,3352,119641,35.7,2405,71.7,2460,73.4,2504,74.7
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Girls,1635,60450,37,1313,80.3,1330,81.3,1348,82.4
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Boys,1717,59191,34.5,1092,63.6,1130,65.8,1156,67.3
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,1677,54068,32.2,1097,65.4,1142,68.1,1165,69.5
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Girls,812,27124,33.4,615,75.7,630,77.6,643,79.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Boys,865,26944,31.1,482,55.7,512,59.2,522,60.3
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,1661,55648,33.5,1100,66.2,1128,67.9,1155,69.5
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Girls,795,27669,34.8,599,75.3,614,77.2,625,78.6
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Boys,866,27979,32.3,501,57.9,514,59.4,530,61.2
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,2556,87816,34.4,1606,62.8,1659,64.9,1715,67.1
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Girls,1234,44411,36,894,72.4,916,74.2,944,76.5
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Boys,1322,43405,32.8,712,53.9,743,56.2,771,58.3
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,3202,110298,34.4,2141,66.9,2184,68.2,2220,69.3
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Girls,1560,56175,36,1182,75.8,1194,76.5,1207,77.4
Academic Year,201516,Local Authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Boys,1642,54123,33,959,58.4,990,60.3,1013,61.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,2226,74451,33.4,1317,59.2,1403,63,1435,64.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Girls,1094,38141,34.9,742,67.8,775,70.8,789,72.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Boys,1132,36310,32.1,575,50.8,628,55.5,646,57.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,1645,54631,33.2,1039,63.2,1061,64.5,1102,67
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Girls,838,28581,34.1,587,70,595,71,607,72.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Boys,807,26050,32.3,452,56,466,57.7,495,61.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,3934,130310,33.1,2408,61.2,2543,64.6,2614,66.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Girls,1920,66495,34.6,1334,69.5,1393,72.6,1434,74.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Boys,2014,63815,31.7,1074,53.3,1150,57.1,1180,58.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,2454,85273,34.7,1657,67.5,1690,68.9,1728,70.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Girls,1211,43096,35.6,876,72.3,892,73.7,913,75.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Boys,1243,42177,33.9,781,62.8,798,64.2,815,65.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,4308,151366,35.1,2953,68.5,3073,71.3,3112,72.2
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Girls,2099,76806,36.6,1612,76.8,1669,79.5,1688,80.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Boys,2209,74560,33.8,1341,60.7,1404,63.6,1424,64.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,3984,143566,36,2750,69,2826,70.9,2879,72.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Girls,1970,73759,37.4,1528,77.6,1560,79.2,1582,80.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Boys,2014,69807,34.7,1222,60.7,1266,62.9,1297,64.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Total,5152,174770,33.9,3245,63,3348,65,3461,67.2
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Girls,2532,88685,35,1792,70.8,1823,72,1882,74.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Boys,2620,86085,32.9,1453,55.5,1525,58.2,1579,60.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,1508,48157,31.9,868,57.6,933,61.9,942,62.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Girls,748,24822,33.2,500,66.8,526,70.3,528,70.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Boys,760,23335,30.7,368,48.4,407,53.6,414,54.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,1889,63729,33.7,1220,64.6,1238,65.5,1254,66.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Girls,936,32804,35,691,73.8,695,74.3,701,74.9
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Boys,953,30925,32.5,529,55.5,543,57,553,58
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,14299,498943,34.9,9590,67.1,9897,69.2,10159,71
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Girls,6907,250335,36.2,5164,74.8,5273,76.3,5393,78.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Boys,7392,248608,33.6,4426,59.9,4624,62.6,4766,64.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,5362,176576,32.9,3118,58.1,3204,59.8,3308,61.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Girls,2597,89317,34.4,1756,67.6,1788,68.8,1855,71.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Boys,2765,87259,31.6,1362,49.3,1416,51.2,1453,52.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,7191,234764,32.6,4329,60.2,4579,63.7,4657,64.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Girls,3535,120697,34.1,2472,69.9,2544,72,2569,72.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Boys,3656,114067,31.2,1857,50.8,2035,55.7,2088,57.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,3495,110800,31.7,1979,56.6,2115,60.5,2147,61.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Girls,1723,57161,33.2,1124,65.2,1181,68.5,1202,69.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Boys,1772,53639,30.3,855,48.3,934,52.7,945,53.3
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,2971,96560,32.5,1755,59.1,1881,63.3,1907,64.2
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Girls,1430,48734,34.1,991,69.3,1042,72.9,1050,73.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Boys,1541,47826,31,764,49.6,839,54.4,857,55.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,3426,112069,32.7,2128,62.1,2236,65.3,2282,66.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Girls,1603,54965,34.3,1181,73.7,1222,76.2,1240,77.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Boys,1823,57104,31.3,947,51.9,1014,55.6,1042,57.2
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,3080,105643,34.3,2095,68,2150,69.8,2204,71.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Girls,1496,53261,35.6,1164,77.8,1176,78.6,1205,80.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Boys,1584,52382,33.1,931,58.8,974,61.5,999,63.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,2122,71038,33.5,1362,64.2,1400,66,1440,67.9
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Girls,1031,36065,35,761,73.8,773,75,790,76.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Boys,1091,34973,32.1,601,55.1,627,57.5,650,59.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,3619,126753,35,2436,67.3,2519,69.6,2560,70.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Girls,1789,64933,36.3,1347,75.3,1381,77.2,1397,78.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Boys,1830,61820,33.8,1089,59.5,1138,62.2,1163,63.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,3020,97852,32.4,1832,60.7,1904,63,1958,64.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Girls,1509,50998,33.8,1064,70.5,1091,72.3,1117,74
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Boys,1511,46854,31,768,50.8,813,53.8,841,55.7
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,3140,116476,37.1,2269,72.3,2318,73.8,2367,75.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Girls,1564,59952,38.3,1245,79.6,1269,81.1,1299,83.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Boys,1576,56524,35.9,1024,65,1049,66.6,1068,67.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,2614,93231,35.7,1843,70.5,1868,71.5,1893,72.4
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Girls,1297,48127,37.1,1021,78.7,1026,79.1,1036,79.9
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Boys,1317,45104,34.2,822,62.4,842,63.9,857,65.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,3928,130091,33.1,2450,62.4,2630,67,2674,68.1
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Girls,1940,67155,34.6,1377,71,1463,75.4,1486,76.6
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Boys,1988,62936,31.7,1073,54,1167,58.7,1188,59.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,3852,130664,33.9,2615,67.9,2680,69.6,2714,70.5
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Girls,1839,65376,35.5,1430,77.8,1454,79.1,1467,79.8
Academic Year,201516,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Boys,2013,65288,32.4,1185,58.9,1226,60.9,1247,61.9
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Total,2996,99521,33.2,1889,63.1,1967,65.7,1982,66.2
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Girls,1454,50651,34.8,1075,73.9,1099,75.6,1104,75.9
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Boys,1542,48870,31.7,814,52.8,868,56.3,878,56.9
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Total,7975,268507,33.7,5044,63.2,5278,66.2,5343,67
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Girls,3881,135769,35,2767,71.3,2864,73.8,2896,74.6
Academic Year,201516,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Boys,4094,132738,32.4,2277,55.6,2414,59,2447,59.8
